date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:43	45401/45401	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2000:26:56%20GMT	https://bestwpware.com/html/tf/jawan-demo/	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/index.html	(from )
21:23:44	125/125	---M-Z	200	added ('OK')	text/plain	etag:%2211-1695050109;gz%22	https://bestwpware.com/robots.txt		(from )
21:23:46	66672/66672	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Sep%202023%2015:23:44%20GMT	https://bestwpware.com/html/tf/jawan-demo/favicon.ico	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/favicon.ico	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:46	220780/220780	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Mar%202023%2020:48:06%20GMT	https://bestwpware.com/html/tf/jawan-demo/bootstrap/css/bootstrap.min.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/bootstrap/css/bootstrap.min.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:46	31000/31000	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20May%202017%2021:43:54%20GMT	https://bestwpware.com/html/tf/jawan-demo/fonts/font-awesome.min.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/fonts/font-awesome.min.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:46	16450/16450	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Oct%202018%2021:06:54%20GMT	https://bestwpware.com/html/tf/jawan-demo/fonts/themify-icons.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/fonts/themify-icons.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:47	7302/7302	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20May%202017%2010:49:08%20GMT	https://bestwpware.com/html/tf/jawan-demo/css/magnific-popup.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/css/magnific-popup.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:47	20105/20105	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Mar%202019%2000:45:30%20GMT	https://bestwpware.com/html/tf/jawan-demo/css/venobox.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/css/venobox.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:47	1478/1478	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Mar%202015%2002:59:22%20GMT	https://bestwpware.com/html/tf/jawan-demo/owlcarousel/css/owl.carousel.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/owlcarousel/css/owl.carousel.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:47	1685/1685	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jun%202016%2016:55:22%20GMT	https://bestwpware.com/html/tf/jawan-demo/owlcarousel/css/owl.theme.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/owlcarousel/css/owl.theme.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:48	5877/5877	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Sep%202023%2018:24:20%20GMT	https://bestwpware.com/html/tf/jawan-demo/css/base.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/css/base.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:48	18886/18886	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202023%2000:27:14%20GMT	https://bestwpware.com/html/tf/jawan-demo/css/style.css	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/css/style.css	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:48	804/804	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2015:58:28%20GMT	https://bestwpware.com/html/tf/jawan-demo/img/fb.svg	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/img/fb.svg	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:48	1190/1190	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2015:58:30%20GMT	https://bestwpware.com/html/tf/jawan-demo/img/tw.svg	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/img/tw.svg	(from https://bestwpware.com/html/tf/jawan-demo/)
21:23:48	1225/1225	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Oct%202022%2015:58:28%20GMT	https://bestwpware.com/html/tf/jawan-demo/img/pn.svg	F:/Websites/Portfolio/bestwpware.com/html/tf/jawan-demo/img/pn.svg	(from https://bestwpware.com/html/tf/jawan-demo/)
